avg_brightness,max_brightness,std_brightness,avg_red,avg_green,avg_blue,green_ratio,yellow_ratio,red_ratio,edge_count,contour_area,hue_mean,saturation_mean,value_mean,label,image_name,label_name
98.5481,253,83.65211226,116.0209,97.9085,56.2062,0.1019,0.1345,0.2237,916,91,26.4666,133.6272,124.2594,1,0168fade-IMG_3738_2.jpg,red
108.9302,253,83.70510097,122.7216,110.2362,66.3325,0.0941,0.1629,0.196,840,111.5,31.7453,127.4299,131.5956,1,0168fade-IMG_3738_4.jpg,red
122.2527,253,74.88223583,146.2025,118.5172,78.6789,0.0587,0.1481,0.2999,862,316,24.9991,130.7001,152.2711,1,023c593d-IMG_2650_2.jpg,red
82.5744,239,70.74367014,104.8852,80.4301,34.9441,0.0593,0.0969,0.2544,656,26.5,28.1038,171.0443,113.3203,1,02c3fbb2-IMG_3620_2.jpg,red
103.8807,252,81.27349056,120.1979,104.2727,59.2529,0.147,0.0913,0.2384,931,128,30.3725,142.2932,132.4024,1,02c3fbb2-IMG_3620_4.jpg,red
120.1854,254,73.34571171,151.0375,113.8182,72.0699,0.063,0.122,0.3744,804,164,25.8726,137.529,157.9608,1,02f42669-IMG_2657_1.jpg,red
115.8766,251,72.47432768,131.0985,116.2864,74.0351,0.1041,0.2054,0.2075,1250,713.5,26.7887,113.2691,138.7528,1,02f42669-IMG_2657_3.jpg,red
129.8723,254,76.98911087,143.7338,129.5213,95.2491,0.071,0.1499,0.176,1054,1511.5,27.2062,101.966,149.0593,1,0421b9dd-IMG_2907_3.jpg,red
110.7079,252,84.35050787,125.4197,112.1527,64.8903,0.1353,0.1494,0.2129,899,142,29.3496,138.0902,136.6311,1,043e246f-IMG_3539_4.jpg,red
107.0765,252,87.06182888,122.1839,107.2615,66.842,0.09,0.1364,0.1842,910,1709,28.114,127.0059,129.1325,1,0464c0b2-IMG_3540_2.jpg,red
102.6446,253,82.26733793,117.4984,102.9882,62.0492,0.0876,0.1501,0.2032,895,96,29.2026,141.6667,125.4791,1,0464c0b2-IMG_3540_3.jpg,red
126.3349,252,79.77423357,138.6396,126.0058,95.7651,0.1215,0.0896,0.1554,987,2617,26.4228,95.7663,145.3211,1,04817e1c-IMG_2766_1.jpg,red
103.7014,252,83.52410214,121.5833,102.2825,64.3386,0.0754,0.1203,0.2221,903,114,26.5464,132.028,127.8629,1,05e5adca-IMG_3529_2.jpg,red
121.3903,252,83.01013532,137.9416,122.7689,71.1146,0.1166,0.1977,0.214,850,152,28.794,136.444,148.0109,1,05e5adca-IMG_3529_4.jpg,red
134.1165,254,83.66027808,144.6209,137.6804,88.3687,0.1979,0.1643,0.1695,857,1160.5,31.9797,114.8138,157.2263,1,07af384e-IMG_3489_0.jpg,red
109.7349,253,86.06756777,122.6608,111.6086,66.4084,0.1212,0.1381,0.1886,1036,193,32.2088,126.959,133.3982,1,07af384e-IMG_3489_4.jpg,red
105.184,252,80.95335536,123.0725,105.3325,57.8152,0.1029,0.1474,0.2264,810,125,29.1489,142.0225,133.3453,1,07d0ae90-IMG_3174_4.jpg,red
114.2228,253,77.93074336,137.745,109.4092,77.2267,0.0855,0.1164,0.2877,1025,114.5,24.9364,114.0023,143.9223,1,07fa9495-IMG_2866_1.jpg,red
112.3827,253,64.63290061,147.3456,103.2342,67.6769,0.0548,0.1039,0.4268,819,79,24.1769,125.0118,152.083,1,07fa9495-IMG_2866_3.jpg,red
109.0699,254,71.92394326,132.598,105.6256,65.0111,0.0711,0.1484,0.3016,788,194,39.0063,116.678,140.3376,1,07fa9495-IMG_2866_4.jpg,red
85.6765,253,81.63161794,99.7661,85.1843,51.9672,0.0882,0.0629,0.1882,722,283.5,32.3141,117.3062,108.3274,1,080abf8e-IMG_3221_0.jpg,red
110.2414,252,80.34179439,127.0177,110.0069,67.6156,0.0796,0.1234,0.2324,817,718,31.0267,123.8998,136.2234,1,0810fda4-IMG_3472_3.jpg,red
99.1477,252,86.14161877,115.2021,98.3372,61.533,0.0904,0.101,0.1974,958,1934,27.8629,130.5298,121.8445,1,090be1e5-IMG_3532_2.jpg,red
108.361,253,86.18649244,123.7168,109.0127,65.0141,0.1283,0.1277,0.2016,951,635.5,30.2899,128.9963,134.293,1,0972e8b3-IMG_3220_0.jpg,red
72.9288,237,64.36294998,93.8628,70.4172,30.8292,0.0871,0.0585,0.2057,761,86,25.2356,169.0556,102.4473,1,097fc358-IMG_3675_1.jpg,red
117.189,251,80.29137985,136.0264,117.5107,66.1832,0.1564,0.1716,0.24,871,167.5,28.5821,141.9314,147.4878,1,097fc358-IMG_3675_3.jpg,red
110.3521,253,84.9927922,126.9596,109.743,69.9955,0.1177,0.0913,0.235,917,137.5,29.7291,134.1236,136.9418,1,0a15bba5-IMG_3754_4.jpg,red
133.6055,253,80.81748245,148.7261,133.6038,94.0142,0.0839,0.1512,0.1928,1164,1508.5,28.7933,112.0431,155.6484,1,0a6eb1a4-IMG_2634_2.jpg,red
96.9726,252,84.34435991,111.3935,96.9674,59.4792,0.0856,0.1333,0.1878,864,106.5,30.0724,131.5032,118.2908,1,0a913b28-IMG_3543_3.jpg,red
112.1869,251,78.15345142,128.7214,113.9865,59.6803,0.0562,0.2449,0.2244,826,109,29.1394,154.5389,137.851,1,0a913b28-IMG_3543_4.jpg,red
123.8197,246,77.53782427,138.5541,125.8928,74.5116,0.079,0.268,0.2234,747,501.5,28.172,144.1243,146.986,1,0b56743f-IMG_3641_4.jpg,red
105.0504,252,71.41009774,133.3435,99.7866,57.9887,0.0942,0.0775,0.3406,588,64.5,26.5575,147.2784,142.7108,1,0bdef63c-IMG_3721_2.jpg,red
132.9483,253,74.72456508,150.2414,134.0245,82.093,0.1246,0.2483,0.2156,981,1769.5,28.779,130.0171,159.5008,1,0c0075ba-IMG_2667_3.jpg,red
96.8948,250,77.4921953,118.6076,91.8765,65.8278,0.08,0.0478,0.2327,990,224,20.222,124.4672,123.8361,1,0c1e8850-IMG_2847_1.jpg,red
114.1754,253,82.03412116,130.1903,112.732,79.4975,0.0708,0.1114,0.2192,1036,128,27.0775,120.5202,135.8275,1,0c1e8850-IMG_2847_3.jpg,red
125.6515,252,81.73654903,144.3628,125.899,75.3663,0.1157,0.2033,0.2393,841,946.5,27.6575,137.4715,154.4496,1,0d681840-IMG_3635_2.jpg,red
118.8548,252,85.2789465,136.0146,118.8006,74.1865,0.1106,0.1374,0.2307,932,254.5,29.3604,132.6523,145.4455,1,0d681840-IMG_3635_3.jpg,red
111.0573,252,81.26408811,127.4271,110.5168,71.0843,0.1067,0.2003,0.2138,759,429.5,25.6675,116.6912,134.5316,1,0d77666a-IMG_3654_1.jpg,red
120.911,253,84.14258541,135.3887,120.0647,87.4692,0.056,0.1387,0.1866,1137,124,29.9966,96.5843,139.8877,1,0d8eea97-IMG_2728_4.jpg,red
116.2904,253,81.92842405,134.6127,114.1925,79.0348,0.0391,0.1315,0.2224,1048,151,26.4775,115.5183,139.0325,1,0dd169e4-IMG_2690_0.jpg,red
85.0358,238,71.27192798,107.6254,83.0326,35.9968,0.1239,0.1215,0.2105,844,71.5,24.9177,172.8908,117.5839,1,0e043e16-IMG_3670_1.jpg,red
114.2638,251,80.47624376,132.8034,114.6449,63.6857,0.1624,0.1491,0.2384,921,112,28.6802,147.4624,144.9576,1,0e043e16-IMG_3670_3.jpg,red
122.3889,253,84.98737351,137.985,121.9566,83.6757,0.1036,0.153,0.1945,1023,375.5,26.9993,115.1969,145.1021,1,0e817913-IMG_2899_3.jpg,red
127.7158,254,80.93976421,142.613,127.94,87.557,0.0984,0.1608,0.1869,1014,1368.5,29.9848,108.3263,149.9128,1,0e817913-IMG_2899_4.jpg,red
108.2612,252,75.80566585,125.0547,108.7777,61.6266,0.0988,0.0842,0.2271,734,529.5,30.4882,134.1057,135.726,1,0ea354f4-IMG_3199_0.jpg,red
109.9176,253,70.33176388,137.9614,104.7464,62.7956,0.0553,0.1702,0.3554,800,389,31.9,132.5007,144.4332,1,0fc4a259-IMG_2755_4.jpg,red
115.801,251,78.51252256,144.0272,110.019,71.7033,0.0262,0.1421,0.2024,876,118,19.2284,117.6127,146.3904,1,1146ebbb-IMG_2793_3.jpg,red
