epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.421,1.40635,1.92063,1.14909,0.0148,0.96591,0.84522,0.59651,0.89143,2.37696,0.9032,0.00328431,0.00328431,0.00328431
2,82.8789,1.06225,0.88979,0.97229,0.90367,0.9442,0.95012,0.63426,0.87072,0.89376,0.94542,0.0066111,0.0066111,0.0066111
3,106.36,1.08554,0.84102,0.98046,0.93318,0.90688,0.92531,0.671,0.87137,0.92588,0.91536,0.00993128,0.00993128,0.00993128
4,131,1.05149,0.82924,0.98248,0.95671,0.96865,0.97819,0.71838,0.83529,0.62911,0.90697,0.0099703,0.0099703,0.0099703
5,153.367,1.03493,0.74657,0.97644,0.96263,0.95455,0.97868,0.71865,0.84743,0.60154,0.9232,0.0099604,0.0099604,0.0099604
6,176.741,0.98309,0.69668,0.96967,0.96895,0.96262,0.97854,0.73668,0.80414,0.62501,0.91429,0.0099505,0.0099505,0.0099505
7,200.3,0.96345,0.67539,0.96697,0.97712,0.96429,0.98871,0.73739,0.7955,0.5716,0.9293,0.0099406,0.0099406,0.0099406
8,222.895,0.97034,0.63769,0.96408,0.97092,0.97555,0.98779,0.73251,0.81085,0.55376,0.93456,0.0099307,0.0099307,0.0099307
9,246.309,0.93707,0.63707,0.96021,0.98346,0.965,0.98725,0.74253,0.76658,0.53162,0.92354,0.0099208,0.0099208,0.0099208
10,268.726,0.9326,0.6075,0.95019,0.97724,0.97565,0.99171,0.74383,0.79032,0.48956,0.92484,0.0099109,0.0099109,0.0099109
11,292.289,0.94028,0.56618,0.95715,0.97696,0.97078,0.98873,0.74094,0.75505,0.48841,0.9299,0.009901,0.009901,0.009901
12,316.254,0.91391,0.55795,0.94661,0.98539,0.96266,0.98143,0.74746,0.7935,0.47202,0.90991,0.0098911,0.0098911,0.0098911
