epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.673,1.41189,1.6271,1.16036,0.01459,0.93217,0.29494,0.21235,0.9458,2.55157,0.92011,0.000654321,0.000654321,0.000654321
2,399.578,1.05393,0.84788,0.98342,0.94607,0.89739,0.92495,0.66215,0.93584,1.06734,0.9627,0.0012774,0.0012774,0.0012774
3,584.388,1.03314,0.76443,0.98022,0.9387,0.92522,0.93821,0.67572,0.92889,0.66402,0.95315,0.00185647,0.00185647,0.00185647
4,768.319,0.98361,0.72087,0.96731,0.9393,0.92783,0.94181,0.687,0.91482,0.6109,0.94448,0.001802,0.001802,0.001802
5,951.513,0.96885,0.66237,0.96991,0.94597,0.93652,0.95301,0.70053,0.88624,0.58287,0.94152,0.001736,0.001736,0.001736
6,1134.71,0.92586,0.60023,0.95272,0.93609,0.92974,0.94963,0.69672,0.89471,0.55943,0.94338,0.00167,0.00167,0.00167
7,1317.7,0.94323,0.59169,0.95541,0.93752,0.92783,0.94209,0.70898,0.84329,0.52065,0.93035,0.001604,0.001604,0.001604
8,1511.56,0.89978,0.55948,0.94374,0.94154,0.93391,0.95373,0.72142,0.83247,0.50776,0.92213,0.001538,0.001538,0.001538
9,1694.12,0.91886,0.55575,0.94689,0.9339,0.93375,0.94925,0.70603,0.85181,0.51044,0.94185,0.001472,0.001472,0.001472
10,1876.92,0.89328,0.5354,0.9391,0.95662,0.93826,0.96521,0.73891,0.80959,0.46832,0.92412,0.001406,0.001406,0.001406
11,2059.61,0.87246,0.50614,0.93418,0.95361,0.91166,0.95716,0.72887,0.84042,0.51567,0.92032,0.00134,0.00134,0.00134
12,2242.35,0.87854,0.49597,0.93546,0.95167,0.94175,0.96422,0.72898,0.8133,0.46986,0.93169,0.001274,0.001274,0.001274
13,2425.01,0.85351,0.47955,0.9285,0.95118,0.9487,0.96743,0.74625,0.79123,0.44424,0.91104,0.001208,0.001208,0.001208
14,2607.59,0.84912,0.47806,0.92632,0.96458,0.94734,0.97222,0.76292,0.77163,0.44109,0.89916,0.001142,0.001142,0.001142
15,2790.38,0.85046,0.49079,0.92198,0.95788,0.94918,0.97207,0.74221,0.79685,0.44111,0.92229,0.001076,0.001076,0.001076
16,2973.32,0.83217,0.46697,0.91911,0.95422,0.9424,0.96523,0.73843,0.80015,0.43888,0.9249,0.00101,0.00101,0.00101
17,3156.35,0.82045,0.46616,0.91764,0.96533,0.94421,0.97407,0.76602,0.7764,0.44253,0.90241,0.000944,0.000944,0.000944
18,3339.47,0.81043,0.45325,0.91109,0.95965,0.94435,0.97359,0.7653,0.76176,0.42176,0.90451,0.000878,0.000878,0.000878
19,3522.02,0.81194,0.4543,0.91447,0.95968,0.95043,0.97783,0.77678,0.74817,0.41351,0.89595,0.000812,0.000812,0.000812
20,3705.89,0.7842,0.44006,0.89965,0.96217,0.951,0.97719,0.78017,0.74487,0.42432,0.89143,0.000746,0.000746,0.000746
21,4074.74,0.76055,0.42682,0.90037,0.96316,0.95304,0.98136,0.77813,0.75365,0.41088,0.89453,0.00068,0.00068,0.00068
22,4254.72,0.76375,0.42471,0.90201,0.96812,0.95062,0.9779,0.75262,0.76621,0.41614,0.91909,0.000614,0.000614,0.000614
23,4433.66,0.76467,0.4148,0.90158,0.96911,0.95484,0.98043,0.78061,0.74847,0.39788,0.89695,0.000548,0.000548,0.000548
24,4613.38,0.76288,0.41101,0.90158,0.97333,0.9519,0.98521,0.77117,0.75646,0.39508,0.90546,0.000482,0.000482,0.000482
25,4792.39,0.74826,0.40716,0.89566,0.97106,0.95043,0.98061,0.79152,0.7317,0.39674,0.88752,0.000416,0.000416,0.000416
26,4971.8,0.73299,0.39244,0.89311,0.97016,0.95391,0.98678,0.78838,0.72551,0.37425,0.89346,0.00035,0.00035,0.00035
27,5150.76,0.71683,0.38112,0.88472,0.97175,0.95704,0.98371,0.79561,0.72241,0.3714,0.89337,0.000284,0.000284,0.000284
28,5330.41,0.70677,0.37312,0.88721,0.98051,0.95739,0.98767,0.81157,0.70351,0.3607,0.87961,0.000218,0.000218,0.000218
29,5509.77,0.69911,0.36727,0.87714,0.97648,0.95739,0.9878,0.81382,0.69227,0.35418,0.88149,0.000152,0.000152,0.000152
30,5689.76,0.70275,0.36297,0.88628,0.97513,0.96,0.98886,0.81413,0.69368,0.34942,0.88109,8.6e-05,8.6e-05,8.6e-05
